Temperature	Pressure	Property	Source	Model
-0.087976	0.220156	      Tmin	     TSEOS	 TIP4P2005
-0.098659	0.228035	      Tmin	     TSEOS	 TIP4P2005
-0.111749	0.237077	      Tmin	     TSEOS	 TIP4P2005
-0.119908	0.243669	      Tmin	     TSEOS	 TIP4P2005
-0.126318	0.249382	      Tmin	     TSEOS	 TIP4P2005
-0.131741	0.254596	      Tmin	     TSEOS	 TIP4P2005
-0.136509	0.259473	      Tmin	     TSEOS	 TIP4P2005
-0.140798	0.264104	      Tmin	     TSEOS	 TIP4P2005
-0.144719	0.268542	      Tmin	     TSEOS	 TIP4P2005
-0.148344	0.272824	      Tmin	     TSEOS	 TIP4P2005
-0.151725	0.276976	      Tmin	     TSEOS	 TIP4P2005
-0.154899	0.281017	      Tmin	     TSEOS	 TIP4P2005
-0.157896	0.284962	      Tmin	     TSEOS	 TIP4P2005
-0.160737	0.288822	      Tmin	     TSEOS	 TIP4P2005
-0.163442	0.292606	      Tmin	     TSEOS	 TIP4P2005
-0.166024	0.296323	      Tmin	     TSEOS	 TIP4P2005
-0.168496	0.299977	      Tmin	     TSEOS	 TIP4P2005
-0.170867	0.303575	      Tmin	     TSEOS	 TIP4P2005
-0.173148	0.307121	      Tmin	     TSEOS	 TIP4P2005
-0.175344	0.310618	      Tmin	     TSEOS	 TIP4P2005
-0.177463	0.314070	      Tmin	     TSEOS	 TIP4P2005
-0.179510	0.317480	      Tmin	     TSEOS	 TIP4P2005
-0.181490	0.320851	      Tmin	     TSEOS	 TIP4P2005
-0.183408	0.324185	      Tmin	     TSEOS	 TIP4P2005
-0.185266	0.327483	      Tmin	     TSEOS	 TIP4P2005
-0.187069	0.330749	      Tmin	     TSEOS	 TIP4P2005
-0.188820	0.333982	      Tmin	     TSEOS	 TIP4P2005
-0.190521	0.337185	      Tmin	     TSEOS	 TIP4P2005
-0.192175	0.340360	      Tmin	     TSEOS	 TIP4P2005
-0.193784	0.343506	      Tmin	     TSEOS	 TIP4P2005
-0.195351	0.346627	      Tmin	     TSEOS	 TIP4P2005
-0.196877	0.349721	      Tmin	     TSEOS	 TIP4P2005
-0.198364	0.352792	      Tmin	     TSEOS	 TIP4P2005
-0.199813	0.355839	      Tmin	     TSEOS	 TIP4P2005
-0.201226	0.358863	      Tmin	     TSEOS	 TIP4P2005
-0.202605	0.361865	      Tmin	     TSEOS	 TIP4P2005
-0.203951	0.364845	      Tmin	     TSEOS	 TIP4P2005
-0.205265	0.367805	      Tmin	     TSEOS	 TIP4P2005
-0.206547	0.370745	      Tmin	     TSEOS	 TIP4P2005
-0.207800	0.373666	      Tmin	     TSEOS	 TIP4P2005
-0.209023	0.376567	      Tmin	     TSEOS	 TIP4P2005
-0.210219	0.379451	      Tmin	     TSEOS	 TIP4P2005
-0.211387	0.382316	      Tmin	     TSEOS	 TIP4P2005
-0.212529	0.385164	      Tmin	     TSEOS	 TIP4P2005
-0.213645	0.387995	      Tmin	     TSEOS	 TIP4P2005
-0.214736	0.390810	      Tmin	     TSEOS	 TIP4P2005
-0.215802	0.393608	      Tmin	     TSEOS	 TIP4P2005
-0.216845	0.396391	      Tmin	     TSEOS	 TIP4P2005
-0.217865	0.399158	      Tmin	     TSEOS	 TIP4P2005
-0.218862	0.401909	      Tmin	     TSEOS	 TIP4P2005
-0.219837	0.404647	      Tmin	     TSEOS	 TIP4P2005
-0.220791	0.407369	      Tmin	     TSEOS	 TIP4P2005
-0.221723	0.410078	      Tmin	     TSEOS	 TIP4P2005
-0.222635	0.412772	      Tmin	     TSEOS	 TIP4P2005
-0.223527	0.415453	      Tmin	     TSEOS	 TIP4P2005
