Temperature	Pressure	Property	Source
45.440576	24.492116	  Spinodal	     Poole
40.292576	26.408279	  Spinodal	     Poole
34.560411	24.575019	  Spinodal	     Poole
28.998427	25.545947	  Spinodal	     Poole
23.265459	24.819248	  Spinodal	     Poole
17.325400	23.578758	  Spinodal	     Poole
10.932251	22.067459	  Spinodal	     Poole
5.615071	25.087228	  Spinodal	     Poole
-0.325988	25.492398	  Spinodal	     Poole
-5.679882	30.966835	  Spinodal	     Poole
-12.451105	28.269231	  Spinodal	     Poole
-20.090403	23.335963	  Spinodal	     Poole
-28.106578	15.435250	  Spinodal	     Poole
-31.970520	29.105811	  Spinodal	     Poole
-39.817711	24.851388	  Spinodal	     Poole
-46.380844	25.957919	  Spinodal	     Poole
-53.812052	24.967109	  Spinodal	     Poole
16.651925	139.384243	     Ktmax	     Poole
14.690925	141.991757	     Ktmax	     Poole
13.145949	146.787864	     Ktmax	     Poole
11.354992	152.024870	     Ktmax	     Poole
9.980058	159.473054	     Ktmax	     Poole
8.812152	168.082687	     Ktmax	     Poole
7.890242	176.409845	     Ktmax	     Poole
6.722330	185.224842	     Ktmax	     Poole
5.762438	195.199563	     Ktmax	     Poole
5.255563	205.909289	     Ktmax	     Poole
4.577661	214.169123	     Ktmax	     Poole
4.315782	224.596308	     Ktmax	     Poole
4.053903	235.089105	     Ktmax	     Poole
3.584013	244.596796	     Ktmax	     Poole
3.077134	255.692405	     Ktmax	     Poole
2.777287	267.926461	     Ktmax	     Poole
2.515408	278.700531	     Ktmax	     Poole
2.045517	288.489661	     Ktmax	     Poole
2.028639	298.884510	     Ktmax	     Poole
1.766760	309.846058	     Ktmax	     Poole
1.504881	320.873217	     Ktmax	     Poole
1.450053	333.018787	     Ktmax	     Poole
1.188096	344.176769	     Ktmax	     Poole
1.379229	355.894984	     Ktmax	     Poole
-12.702272	91.793212	     Cpmax	     Poole
-11.286139	100.611994	     Cpmax	     Poole
-10.568018	109.199927	     Cpmax	     Poole
-9.641865	118.850842	     Cpmax	     Poole
-8.923744	127.462711	     Cpmax	     Poole
-8.450622	136.510006	     Cpmax	     Poole
-7.524470	146.200793	     Cpmax	     Poole
-7.051349	155.285405	     Cpmax	     Poole
-6.370216	165.442175	     Cpmax	     Poole
-5.897075	174.569564	     Cpmax	     Poole
-5.460942	185.219197	     Cpmax	     Poole
-4.779795	195.445328	     Cpmax	     Poole
-4.136633	207.207668	     Cpmax	     Poole
-3.455492	217.481734	     Cpmax	     Poole
-3.020339	228.253439	     Cpmax	     Poole
-2.584206	239.056491	     Cpmax	     Poole
-2.148054	249.893001	     Cpmax	     Poole
-1.712921	260.764789	     Cpmax	     Poole
-1.276768	271.668042	     Cpmax	     Poole
