-22.795781	98.886143	     Ktmin	     Poole	       ST2
-25.246781	103.279375	     Ktmin	     Poole	       ST2
-27.452781	107.348586	     Ktmin	     Poole	       ST2
-29.205690	112.108523	     Ktmin	     Poole	       ST2
-30.543616	119.057601	     Ktmin	     Poole	       ST2
-32.126541	126.583622	     Ktmin	     Poole	       ST2
-33.672557	132.664527	     Ktmin	     Poole	       ST2
-34.764483	139.367892	     Ktmin	     Poole	       ST2
-35.197424	147.721514	     Ktmin	     Poole	       ST2
-36.327358	156.129418	     Ktmin	     Poole	       ST2
-37.004260	165.133074	     Ktmin	     Poole	       ST2
-37.229150	174.706303	     Ktmin	     Poole	       ST2
-37.699041	184.884534	     Ktmin	     Poole	       ST2
79.912541	224.195390	     Ktmin	     Poole	       ST2
76.987420	217.312105	     Ktmin	     Poole	       ST2
73.611287	209.518016	     Ktmin	     Poole	       ST2
70.649177	203.895430	     Ktmin	     Poole	       ST2
67.480056	197.286547	     Ktmin	     Poole	       ST2
64.027946	192.043966	     Ktmin	     Poole	       ST2
60.575837	186.910847	     Ktmin	     Poole	       ST2
57.331739	182.939180	     Ktmin	     Poole	       ST2
54.087661	179.076976	     Ktmin	     Poole	       ST2
51.051575	176.375927	     Ktmin	     Poole	       ST2
47.562496	172.918764	     Ktmin	     Poole	       ST2
44.280420	170.649118	     Ktmin	     Poole	       ST2
40.791330	167.461829	     Ktmin	     Poole	       ST2
36.113225	164.279393	     Ktmin	     Poole	       ST2
33.775170	162.786401	     Ktmin	     Poole	       ST2
30.041090	160.273966	     Ktmin	     Poole	       ST2
26.722035	160.028893	     Ktmin	     Poole	       ST2
23.194949	158.895432	     Ktmin	     Poole	       ST2
19.837925	160.331624	     Ktmin	     Poole	       ST2
17.632925	163.112163	     Ktmin	     Poole	       ST2
45.440576	49.492116	  Spinodal	     Poole	       ST2
40.292576	51.408279	  Spinodal	     Poole	       ST2
34.560411	49.575019	  Spinodal	     Poole	       ST2
28.998427	50.545947	  Spinodal	     Poole	       ST2
23.265459	49.819248	  Spinodal	     Poole	       ST2
17.325400	48.578758	  Spinodal	     Poole	       ST2
10.932251	47.067459	  Spinodal	     Poole	       ST2
5.615071	50.087228	  Spinodal	     Poole	       ST2
-0.325988	50.492398	  Spinodal	     Poole	       ST2
-5.679882	55.966835	  Spinodal	     Poole	       ST2
-12.451105	53.269231	  Spinodal	     Poole	       ST2
-20.090403	48.335963	  Spinodal	     Poole	       ST2
-28.106578	40.435250	  Spinodal	     Poole	       ST2
-31.970520	54.105811	  Spinodal	     Poole	       ST2
-39.817711	49.851388	  Spinodal	     Poole	       ST2
-46.380844	50.957919	  Spinodal	     Poole	       ST2
-53.812052	49.967109	  Spinodal	     Poole	       ST2
-12.702272	116.793212	     Cpmax	     Poole	       ST2
-11.286139	125.611994	     Cpmax	     Poole	       ST2
-10.568018	134.199927	     Cpmax	     Poole	       ST2
-9.641865	143.850842	     Cpmax	     Poole	       ST2
-8.923744	152.462711	     Cpmax	     Poole	       ST2
-8.450622	161.510006	     Cpmax	     Poole	       ST2
-7.524470	171.200793	     Cpmax	     Poole	       ST2
-7.051349	180.285405	     Cpmax	     Poole	       ST2
-6.370216	190.442175	     Cpmax	     Poole	       ST2
-5.897075	199.569564	     Cpmax	     Poole	       ST2
-5.460942	210.219197	     Cpmax	     Poole	       ST2
-4.779795	220.445328	     Cpmax	     Poole	       ST2
-4.136633	232.207668	     Cpmax	     Poole	       ST2
-3.455492	242.481734	     Cpmax	     Poole	       ST2
-3.020339	253.253439	     Cpmax	     Poole	       ST2
-2.584206	264.056491	     Cpmax	     Poole	       ST2
-2.148054	274.893001	     Cpmax	     Poole	       ST2
-1.712921	285.764789	     Cpmax	     Poole	       ST2
-1.276768	296.668042	     Cpmax	     Poole	       ST2
-0.840635	307.604553	     Cpmax	     Poole	       ST2
-0.650483	319.092515	     Cpmax	     Poole	       ST2
-0.459350	330.626402	     Cpmax	     Poole	       ST2
-0.269197	342.210665	     Cpmax	     Poole	       ST2
-0.115033	355.432649	     Cpmax	     Poole	       ST2
0.000202	370.327344	     Cpmax	     Poole	       ST2
0.228245	380.466905	     Cpmax	     Poole	       ST2
-50.703062	135.297758	     Cpmax	     Poole	       ST2
-48.081882	132.326055	     Cpmax	     Poole	       ST2
-45.215898	128.917688	     Cpmax	     Poole	       ST2
-42.801807	125.123433	     Cpmax	     Poole	       ST2
-40.841807	120.910190	     Cpmax	     Poole	       ST2
-38.427914	117.321047	     Cpmax	     Poole	       ST2
-35.731914	111.799703	     Cpmax	     Poole	       ST2
-32.790914	105.962382	     Cpmax	     Poole	       ST2
-29.886823	101.832749	     Cpmax	     Poole	       ST2
-27.020839	99.367393	     Cpmax	     Poole	       ST2
-24.154855	97.036785	     Cpmax	     Poole	       ST2
-18.778616	97.582651	     Cpmax	     Poole	       ST2
-16.270557	100.375459	     Cpmax	     Poole	       ST2
-14.571515	107.329040	     Cpmax	     Poole	       ST2
-22.795781	98.886143	      Tmin	     Poole	       ST2
-25.246781	103.279375	      Tmin	     Poole	       ST2
-27.452781	107.348586	      Tmin	     Poole	       ST2
-29.205690	112.108523	      Tmin	     Poole	       ST2
-30.543616	119.057601	      Tmin	     Poole	       ST2
-32.126541	126.583622	      Tmin	     Poole	       ST2
-33.672557	132.664527	      Tmin	     Poole	       ST2
-34.764483	139.367892	      Tmin	     Poole	       ST2
-35.197424	147.721514	      Tmin	     Poole	       ST2
-36.327358	156.129418	      Tmin	     Poole	       ST2
-37.004260	165.133074	      Tmin	     Poole	       ST2
-37.229150	174.706303	      Tmin	     Poole	       ST2
-37.699041	184.884534	      Tmin	     Poole	       ST2
0.000000	444.380000	      LLCP	     TSEOS	       ST2
16.651925	164.384243	     Ktmax	     Poole	       ST2
14.690925	166.991757	     Ktmax	     Poole	       ST2
13.145949	171.787864	     Ktmax	     Poole	       ST2
11.354992	177.024870	     Ktmax	     Poole	       ST2
9.980058	184.473054	     Ktmax	     Poole	       ST2
8.812152	193.082687	     Ktmax	     Poole	       ST2
7.890242	201.409845	     Ktmax	     Poole	       ST2
6.722330	210.224842	     Ktmax	     Poole	       ST2
5.762438	220.199563	     Ktmax	     Poole	       ST2
5.255563	230.909289	     Ktmax	     Poole	       ST2
4.577661	239.169123	     Ktmax	     Poole	       ST2
4.315782	249.596308	     Ktmax	     Poole	       ST2
4.053903	260.089105	     Ktmax	     Poole	       ST2
3.584013	269.596796	     Ktmax	     Poole	       ST2
3.077134	280.692405	     Ktmax	     Poole	       ST2
2.777287	292.926461	     Ktmax	     Poole	       ST2
2.515408	303.700531	     Ktmax	     Poole	       ST2
2.045517	313.489661	     Ktmax	     Poole	       ST2
2.028639	323.884510	     Ktmax	     Poole	       ST2
1.766760	334.846058	     Ktmax	     Poole	       ST2
1.504881	345.873217	     Ktmax	     Poole	       ST2
1.450053	358.018787	     Ktmax	     Poole	       ST2
1.188096	369.176769	     Ktmax	     Poole	       ST2
1.379229	380.894984	     Ktmax	     Poole	       ST2
26.468404	509.694898	      Tmax	     Poole	       ST2
28.051526	501.587449	      Tmax	     Poole	       ST2
29.427361	492.534870	      Tmax	     Poole	       ST2
31.047197	483.073903	      Tmax	     Poole	       ST2
32.667228	473.748245	      Tmax	     Poole	       ST2
34.533064	464.062745	      Tmax	     Poole	       ST2
36.191005	453.489843	      Tmax	     Poole	       ST2
37.885856	441.568131	      Tmax	     Poole	       ST2
38.845904	431.177085	      Tmax	     Poole	       ST2
40.465739	422.562237	      Tmax	     Poole	       ST2
41.180590	412.822280	      Tmax	     Poole	       ST2
42.311622	405.270788	      Tmax	     Poole	       ST2
43.271473	395.301484	      Tmax	     Poole	       ST2
44.023431	384.390436	      Tmax	     Poole	       ST2
44.775191	373.586959	      Tmax	     Poole	       ST2
45.773149	362.528074	      Tmax	     Poole	       ST2
46.279910	352.305287	      Tmax	     Poole	       ST2
47.031867	341.828577	      Tmax	     Poole	       ST2
47.331734	330.736024	      Tmax	     Poole	       ST2
47.876601	319.411373	      Tmax	     Poole	       ST2
47.968378	307.449303	      Tmax	     Poole	       ST2
47.815155	295.869268	      Tmax	     Poole	       ST2
47.907128	284.068782	      Tmax	     Poole	       ST2
47.753924	272.629305	      Tmax	     Poole	       ST2
47.354760	261.524866	      Tmax	     Poole	       ST2
46.956596	250.467398	      Tmax	     Poole	       ST2
46.558451	239.458131	      Tmax	     Poole	       ST2
45.499244	226.638999	      Tmax	     Poole	       ST2
44.441056	213.852238	      Tmax	     Poole	       ST2
43.173837	200.047980	      Tmax	     Poole	       ST2
40.794563	183.574739	      Tmax	     Poole	       ST2
37.509260	165.462147	      Tmax	     Poole	       ST2
34.565035	152.013582	      Tmax	     Poole	       ST2
31.582816	139.849934	      Tmax	     Poole	       ST2
28.317608	129.215773	      Tmax	     Poole	       ST2
24.563421	119.090148	      Tmax	     Poole	       ST2
21.016245	110.066015	      Tmax	     Poole	       ST2
17.639092	103.456915	      Tmax	     Poole	       ST2
14.261959	96.914295	      Tmax	     Poole	       ST2
11.054850	92.824353	      Tmax	     Poole	       ST2
7.848740	88.819749	      Tmax	     Poole	       ST2
4.396630	85.208004	      Tmax	     Poole	       ST2
1.152592	82.757322	      Tmax	     Poole	       ST2
-1.676483	82.519556	      Tmax	     Poole	       ST2
-5.203648	82.026584	      Tmax	     Poole	       ST2
-8.277722	82.389351	      Tmax	     Poole	       ST2
-11.841600	83.634367	      Tmax	     Poole	       ST2
-15.235690	87.567270	      Tmax	     Poole	       ST2
-18.384781	91.318944	      Tmax	     Poole	       ST2
-21.042674	94.417873	      Tmax	     Poole	       ST2
