Temperature	Pressure	Property	Source	Model
271.000000	179.896500	     Ktmax	     TSEOS	 TIP4P2005
269.000000	183.128500	     Ktmax	     TSEOS	 TIP4P2005
267.000000	187.112500	     Ktmax	     TSEOS	 TIP4P2005
264.183998	194.402126	     Ktmax	     TSEOS	 TIP4P2005
263.376046	196.651916	     Ktmax	     TSEOS	 TIP4P2005
262.636900	198.802704	     Ktmax	     TSEOS	 TIP4P2005
261.950387	200.877908	     Ktmax	     TSEOS	 TIP4P2005
261.305752	202.893102	     Ktmax	     TSEOS	 TIP4P2005
260.695414	204.859262	     Ktmax	     TSEOS	 TIP4P2005
260.113797	206.784463	     Ktmax	     TSEOS	 TIP4P2005
259.556661	208.674847	     Ktmax	     TSEOS	 TIP4P2005
259.020686	210.535219	     Ktmax	     TSEOS	 TIP4P2005
258.503227	212.369412	     Ktmax	     TSEOS	 TIP4P2005
258.002127	214.180549	     Ktmax	     TSEOS	 TIP4P2005
257.515607	215.971210	     Ktmax	     TSEOS	 TIP4P2005
257.042175	217.743556	     Ktmax	     TSEOS	 TIP4P2005
256.580567	219.499416	     Ktmax	     TSEOS	 TIP4P2005
256.129703	221.240359	     Ktmax	     TSEOS	 TIP4P2005
255.688648	222.967739	     Ktmax	     TSEOS	 TIP4P2005
255.256590	224.682731	     Ktmax	     TSEOS	 TIP4P2005
254.832818	226.386371	     Ktmax	     TSEOS	 TIP4P2005
254.416701	228.079571	     Ktmax	     TSEOS	 TIP4P2005
253.605267	231.437796	     Ktmax	     TSEOS	 TIP4P2005
253.209005	233.104192	     Ktmax	     TSEOS	 TIP4P2005
252.818496	234.762911	     Ktmax	     TSEOS	 TIP4P2005
252.433379	236.414477	     Ktmax	     TSEOS	 TIP4P2005
252.053322	238.059372	     Ktmax	     TSEOS	 TIP4P2005
251.678025	239.698032	     Ktmax	     TSEOS	 TIP4P2005
251.307215	241.330855	     Ktmax	     TSEOS	 TIP4P2005
250.940640	242.958207	     Ktmax	     TSEOS	 TIP4P2005
250.578069	244.580424	     Ktmax	     TSEOS	 TIP4P2005
250.219291	246.197816	     Ktmax	     TSEOS	 TIP4P2005
249.864107	247.810672	     Ktmax	     TSEOS	 TIP4P2005
249.512336	249.419254	     Ktmax	     TSEOS	 TIP4P2005
249.163810	251.023809	     Ktmax	     TSEOS	 TIP4P2005
248.818370	252.624570	     Ktmax	     TSEOS	 TIP4P2005
248.475871	254.221747	     Ktmax	     TSEOS	 TIP4P2005
