Temperature	Pressure	Property	Source
45.440576	-0.507884	  Spinodal	     Poole
40.292576	1.408279	  Spinodal	     Poole
34.560411	-0.424981	  Spinodal	     Poole
28.998427	0.545947	  Spinodal	     Poole
23.265459	-0.180752	  Spinodal	     Poole
17.325400	-1.421242	  Spinodal	     Poole
10.932251	-2.932541	  Spinodal	     Poole
5.615071	0.087228	  Spinodal	     Poole
-0.325988	0.492398	  Spinodal	     Poole
-5.679882	5.966835	  Spinodal	     Poole
-12.451105	3.269231	  Spinodal	     Poole
-20.090403	-1.664037	  Spinodal	     Poole
-28.106578	-9.564750	  Spinodal	     Poole
-31.970520	4.105811	  Spinodal	     Poole
-39.817711	-0.148612	  Spinodal	     Poole
-46.380844	0.957919	  Spinodal	     Poole
-53.812052	-0.032891	  Spinodal	     Poole
16.651925	114.384243	     Ktmax	     Poole
14.690925	116.991757	     Ktmax	     Poole
13.145949	121.787864	     Ktmax	     Poole
11.354992	127.024870	     Ktmax	     Poole
9.980058	134.473054	     Ktmax	     Poole
8.812152	143.082687	     Ktmax	     Poole
7.890242	151.409845	     Ktmax	     Poole
6.722330	160.224842	     Ktmax	     Poole
5.762438	170.199563	     Ktmax	     Poole
5.255563	180.909289	     Ktmax	     Poole
4.577661	189.169123	     Ktmax	     Poole
4.315782	199.596308	     Ktmax	     Poole
4.053903	210.089105	     Ktmax	     Poole
3.584013	219.596796	     Ktmax	     Poole
3.077134	230.692405	     Ktmax	     Poole
2.777287	242.926461	     Ktmax	     Poole
2.515408	253.700531	     Ktmax	     Poole
2.045517	263.489661	     Ktmax	     Poole
2.028639	273.884510	     Ktmax	     Poole
1.766760	284.846058	     Ktmax	     Poole
1.504881	295.873217	     Ktmax	     Poole
1.450053	308.018787	     Ktmax	     Poole
1.188096	319.176769	     Ktmax	     Poole
1.379229	330.894984	     Ktmax	     Poole
-22.795781	48.886143	      Tmin	     Poole
-25.246781	53.279375	      Tmin	     Poole
-27.452781	57.348586	      Tmin	     Poole
-29.205690	62.108523	      Tmin	     Poole
-30.543616	69.057601	      Tmin	     Poole
-32.126541	76.583622	      Tmin	     Poole
-33.672557	82.664527	      Tmin	     Poole
-34.764483	89.367892	      Tmin	     Poole
-35.197424	97.721514	      Tmin	     Poole
-36.327358	106.129418	      Tmin	     Poole
-37.004260	115.133074	      Tmin	     Poole
-37.229150	124.706303	      Tmin	     Poole
-37.699041	134.884534	      Tmin	     Poole
-12.702272	66.793212	     Cpmax	     Poole
-11.286139	75.611994	     Cpmax	     Poole
-10.568018	84.199927	     Cpmax	     Poole
-9.641865	93.850842	     Cpmax	     Poole
-8.923744	102.462711	     Cpmax	     Poole
-8.450622	111.510006	     Cpmax	     Poole
-7.524470	121.200793	     Cpmax	     Poole
-7.051349	130.285405	     Cpmax	     Poole
-6.370216	140.442175	     Cpmax	     Poole
-5.897075	149.569564	     Cpmax	     Poole
-5.460942	160.219197	     Cpmax	     Poole
-4.779795	170.445328	     Cpmax	     Poole
-4.136633	182.207668	     Cpmax	     Poole
-3.455492	192.481734	     Cpmax	     Poole
-3.020339	203.253439	     Cpmax	     Poole
-2.584206	214.056491	     Cpmax	     Poole
-2.148054	224.893001	     Cpmax	     Poole
-1.712921	235.764789	     Cpmax	     Poole
-1.276768	246.668042	     Cpmax	     Poole
-0.840635	257.604553	     Cpmax	     Poole
-0.650483	269.092515	     Cpmax	     Poole
-0.459350	280.626402	     Cpmax	     Poole
-0.269197	292.210665	     Cpmax	     Poole
-0.115033	305.432649	     Cpmax	     Poole
0.000202	320.327344	     Cpmax	     Poole
0.228245	330.466905	     Cpmax	     Poole
-50.703062	85.297758	     Cpmax	     Poole
-48.081882	82.326055	     Cpmax	     Poole
-45.215898	78.917688	     Cpmax	     Poole
-42.801807	75.123433	     Cpmax	     Poole
-40.841807	70.910190	     Cpmax	     Poole
-38.427914	67.321047	     Cpmax	     Poole
-35.731914	61.799703	     Cpmax	     Poole
-32.790914	55.962382	     Cpmax	     Poole
-29.886823	51.832749	     Cpmax	     Poole
-27.020839	49.367393	     Cpmax	     Poole
-24.154855	47.036785	     Cpmax	     Poole
-18.778616	47.582651	     Cpmax	     Poole
-16.270557	50.375459	     Cpmax	     Poole
-14.571515	57.329040	     Cpmax	     Poole
26.468404	459.694898	      Tmax	     Poole
28.051526	451.587449	      Tmax	     Poole
29.427361	442.534870	      Tmax	     Poole
31.047197	433.073903	      Tmax	     Poole
32.667228	423.748245	      Tmax	     Poole
34.533064	414.062745	      Tmax	     Poole
36.191005	403.489843	      Tmax	     Poole
37.885856	391.568131	      Tmax	     Poole
38.845904	381.177085	      Tmax	     Poole
40.465739	372.562237	      Tmax	     Poole
41.180590	362.822280	      Tmax	     Poole
42.311622	355.270788	      Tmax	     Poole
43.271473	345.301484	      Tmax	     Poole
44.023431	334.390436	      Tmax	     Poole
44.775191	323.586959	      Tmax	     Poole
45.773149	312.528074	      Tmax	     Poole
46.279910	302.305287	      Tmax	     Poole
47.031867	291.828577	      Tmax	     Poole
47.331734	280.736024	      Tmax	     Poole
47.876601	269.411373	      Tmax	     Poole
47.968378	257.449303	      Tmax	     Poole
47.815155	245.869268	      Tmax	     Poole
47.907128	234.068782	      Tmax	     Poole
47.753924	222.629305	      Tmax	     Poole
47.354760	211.524866	      Tmax	     Poole
46.956596	200.467398	      Tmax	     Poole
46.558451	189.458131	      Tmax	     Poole
45.499244	176.638999	      Tmax	     Poole
44.441056	163.852238	      Tmax	     Poole
43.173837	150.047980	      Tmax	     Poole
40.794563	133.574739	      Tmax	     Poole
37.509260	115.462147	      Tmax	     Poole
34.565035	102.013582	      Tmax	     Poole
31.582816	89.849934	      Tmax	     Poole
28.317608	79.215773	      Tmax	     Poole
24.563421	69.090148	      Tmax	     Poole
21.016245	60.066015	      Tmax	     Poole
17.639092	53.456915	      Tmax	     Poole
14.261959	46.914295	      Tmax	     Poole
11.054850	42.824353	      Tmax	     Poole
7.848740	38.819749	      Tmax	     Poole
