Temperature	Pressure	Property	Source
-0.000275	753.903335	       LLT	     TSEOS
-0.000250	748.477794	       LLT	     TSEOS
-0.000226	743.040768	       LLT	     TSEOS
-0.000204	737.592342	       LLT	     TSEOS
-0.000182	732.132598	       LLT	     TSEOS
-0.000162	726.661616	       LLT	     TSEOS
-0.000144	721.179472	       LLT	     TSEOS
-0.000126	715.686241	       LLT	     TSEOS
-0.000110	710.181993	       LLT	     TSEOS
-0.000094	704.666798	       LLT	     TSEOS
-0.000080	699.140723	       LLT	     TSEOS
-0.000067	693.603830	       LLT	     TSEOS
-0.000056	688.056183	       LLT	     TSEOS
-0.000045	682.497839	       LLT	     TSEOS
-0.000036	676.928855	       LLT	     TSEOS
-0.000027	671.349286	       LLT	     TSEOS
-0.000020	665.759185	       LLT	     TSEOS
-0.000014	660.158599	       LLT	     TSEOS
-0.000009	654.547578	       LLT	     TSEOS
-0.000005	648.926165	       LLT	     TSEOS
-0.000002	643.294405	       LLT	     TSEOS
-0.000001	637.652337	       LLT	     TSEOS
-45.375147	57.266830	  Spinodal	    Madrid
-31.071299	64.903465	  Spinodal	    Madrid
-16.239492	73.271865	  Spinodal	    Madrid
8.547514	69.279196	  Spinodal	    Madrid
26.533350	60.529914	  Spinodal	    Madrid
52.598401	51.584191	  Spinodal	    Madrid
-133.479472	112.380800	  Spinodal	      Evan
-124.774343	121.978980	  Spinodal	      Evan
-122.797396	89.695510	  Spinodal	      Evan
-118.502418	72.207480	  Spinodal	      Evan
-113.721781	58.119820	  Spinodal	      Evan
-107.737412	51.997430	  Spinodal	      Evan
-102.966664	38.504050	  Spinodal	      Evan
-97.370157	30.557220	  Spinodal	      Evan
-93.033430	14.971100	  Spinodal	      Evan
-87.096825	9.820180	  Spinodal	      Evan
-80.789018	7.279780	  Spinodal	      Evan
-74.769107	3.211470	  Spinodal	      Evan
-67.689253	5.940410	  Spinodal	      Evan
-61.092855	5.901460	  Spinodal	      Evan
-54.012657	8.992500	  Spinodal	      Evan
-47.576444	8.435660	  Spinodal	      Evan
-41.242173	7.529540	  Spinodal	      Evan
-34.708607	8.048340	  Spinodal	      Evan
-28.335148	7.884180	  Spinodal	      Evan
-21.609456	9.999180	  Spinodal	      Evan
-15.475594	8.977870	  Spinodal	      Evan
-9.422647	7.781250	  Spinodal	      Evan
-3.194415	7.857270	  Spinodal	      Evan
3.072396	8.423920	  Spinodal	      Evan
8.914028	6.909210	  Spinodal	      Evan
14.947120	6.752590	  Spinodal	      Evan
20.874261	6.306400	  Spinodal	      Evan
26.730041	5.768910	  Spinodal	      Evan
32.717627	6.248770	  Spinodal	      Evan
38.711324	7.056350	  Spinodal	      Evan
44.468510	6.889200	  Spinodal	      Evan
50.330990	7.592430	  Spinodal	      Evan
56.165144	8.447430	  Spinodal	      Evan
62.225948	10.805600	  Spinodal	      Evan
67.987184	11.879350	  Spinodal	      Evan
73.801616	13.539700	  Spinodal	      Evan
79.574580	15.289120	  Spinodal	      Evan
-136.341140	-0.000000	  Spinodal	     TSEOS
-134.961742	-0.000000	  Spinodal	     TSEOS
-133.583183	0.000000	  Spinodal	     TSEOS
-132.205474	0.000000	  Spinodal	     TSEOS
-130.828631	0.000000	  Spinodal	     TSEOS
-129.452668	0.000000	  Spinodal	     TSEOS
-128.077596	0.000000	  Spinodal	     TSEOS
-126.703431	0.000000	  Spinodal	     TSEOS
-125.330186	0.000000	  Spinodal	     TSEOS
-123.957873	0.000000	  Spinodal	     TSEOS
-122.586508	0.000000	  Spinodal	     TSEOS
-121.216102	0.000000	  Spinodal	     TSEOS
-119.846670	0.000000	  Spinodal	     TSEOS
-118.478224	0.000000	  Spinodal	     TSEOS
-117.110778	0.000000	  Spinodal	     TSEOS
-115.744345	0.000000	  Spinodal	     TSEOS
-114.378939	0.000000	  Spinodal	     TSEOS
-113.014571	0.000000	  Spinodal	     TSEOS
-111.651256	0.000000	  Spinodal	     TSEOS
-110.289005	0.000000	  Spinodal	     TSEOS
-108.927833	0.000000	  Spinodal	     TSEOS
-107.567752	0.000000	  Spinodal	     TSEOS
-106.208775	-0.000000	  Spinodal	     TSEOS
-104.850915	0.000000	  Spinodal	     TSEOS
-103.494184	0.000000	  Spinodal	     TSEOS
-102.138595	0.000000	  Spinodal	     TSEOS
-100.784160	-0.000000	  Spinodal	     TSEOS
-99.430894	0.000000	  Spinodal	     TSEOS
-98.078807	0.000000	  Spinodal	     TSEOS
-96.727912	0.000000	  Spinodal	     TSEOS
-95.378223	0.000000	  Spinodal	     TSEOS
-94.029750	0.000000	  Spinodal	     TSEOS
-92.682508	0.000000	  Spinodal	     TSEOS
-91.336507	-0.000000	  Spinodal	     TSEOS
-89.991761	-0.000000	  Spinodal	     TSEOS
-88.648282	0.000000	  Spinodal	     TSEOS
-87.306081	0.000000	  Spinodal	     TSEOS
-85.965172	0.000000	  Spinodal	     TSEOS
-84.625565	0.000000	  Spinodal	     TSEOS
-83.287273	0.000000	  Spinodal	     TSEOS
-81.950309	0.000000	  Spinodal	     TSEOS
-80.614684	-0.000000	  Spinodal	     TSEOS
-79.280410	0.000000	  Spinodal	     TSEOS
-77.947498	0.000000	  Spinodal	     TSEOS
-76.615962	0.000000	  Spinodal	     TSEOS
-75.285812	0.000000	  Spinodal	     TSEOS
-73.957061	0.000000	  Spinodal	     TSEOS
-72.629719	-0.000000	  Spinodal	     TSEOS
-71.303800	0.000000	  Spinodal	     TSEOS
-69.979314	-0.000000	  Spinodal	     TSEOS
-68.656272	0.000000	  Spinodal	     TSEOS
-67.334687	0.000000	  Spinodal	     TSEOS
-66.014570	0.000000	  Spinodal	     TSEOS
-64.695933	0.000000	  Spinodal	     TSEOS
-63.378786	0.000000	  Spinodal	     TSEOS
-62.063141	0.000000	  Spinodal	     TSEOS
-60.749010	0.000000	  Spinodal	     TSEOS
-59.436404	-0.000000	  Spinodal	     TSEOS
-58.125333	-0.000000	  Spinodal	     TSEOS
-56.815809	0.000000	  Spinodal	     TSEOS
-55.507844	0.000000	  Spinodal	     TSEOS
-54.201448	0.000000	  Spinodal	     TSEOS
-52.896632	0.000000	  Spinodal	     TSEOS
-51.593408	-0.000000	  Spinodal	     TSEOS
-50.291785	0.000000	  Spinodal	     TSEOS
-48.991776	0.000000	  Spinodal	     TSEOS
-47.693391	-0.000000	  Spinodal	     TSEOS
-46.396640	0.000000	  Spinodal	     TSEOS
-45.101535	-0.000000	  Spinodal	     TSEOS
-43.808086	0.000000	  Spinodal	     TSEOS
-42.516304	0.000000	  Spinodal	     TSEOS
-41.226199	0.000000	  Spinodal	     TSEOS
-39.937782	-0.000000	  Spinodal	     TSEOS
-38.651064	0.000000	  Spinodal	     TSEOS
-37.366054	-0.000000	  Spinodal	     TSEOS
-36.082764	0.000000	  Spinodal	     TSEOS
-34.801203	0.000000	  Spinodal	     TSEOS
-33.521383	0.000000	  Spinodal	     TSEOS
-32.243312	0.000000	  Spinodal	     TSEOS
-30.967002	0.000000	  Spinodal	     TSEOS
-29.692463	0.000000	  Spinodal	     TSEOS
-28.419704	-0.000000	  Spinodal	     TSEOS
-27.148735	0.000000	  Spinodal	     TSEOS
-25.879568	0.000000	  Spinodal	     TSEOS
-24.612211	-0.000000	  Spinodal	     TSEOS
-23.346674	0.000000	  Spinodal	     TSEOS
-22.082967	0.000000	  Spinodal	     TSEOS
-20.821101	0.000000	  Spinodal	     TSEOS
-19.561084	0.000000	  Spinodal	     TSEOS
-18.302927	0.000000	  Spinodal	     TSEOS
-17.046639	0.000000	  Spinodal	     TSEOS
-15.792229	0.000000	  Spinodal	     TSEOS
-14.539708	0.000000	  Spinodal	     TSEOS
-13.289083	0.000000	  Spinodal	     TSEOS
