Temperature	Pressure	Feature	Source
290.275	-91.5789	Cpmax	Poole
290.035	-83.1579	Cpmax	Poole
289.304	-75.7895	Cpmax	Poole
288.574	-67.3684	Cpmax	Poole
287.843	-60.0000	Cpmax	Poole
286.867	-52.6316	Cpmax	Poole
286.137	-44.2105	Cpmax	Poole
285.161	-36.8421	Cpmax	Poole
284.186	-28.4211	Cpmax	Poole
283.210	-21.0526	Cpmax	Poole
281.990	-12.6316	Cpmax	Poole
281.015	-4.21053	Cpmax	Poole
279.795	5.26316	Cpmax	Poole
278.820	13.6842	Cpmax	Poole
277.599	22.1053	Cpmax	Poole
276.379	30.5263	Cpmax	Poole
275.159	38.9474	Cpmax	Poole
273.938	47.3684	Cpmax	Poole
272.718	55.7895	Cpmax	Poole
271.498	64.2105	Cpmax	Poole
270.032	72.6316	Cpmax	Poole
268.567	81.0526	Cpmax	Poole
267.101	89.4737	Cpmax	Poole
265.392	98.9474	Cpmax	Poole
263.437	109.474	Cpmax	Poole
262.216	116.842	Cpmax	Poole
260.348	-132.632	Cpmin	Poole
262.555	-130.526	Cpmin	Poole
265.007	-128.421	Cpmin	Poole
267.214	-127.368	Cpmin	Poole
269.174	-127.368	Cpmin	Poole
271.381	-126.316	Cpmin	Poole
274.077	-126.316	Cpmin	Poole
277.018	-126.316	Cpmin	Poole
279.715	-125.263	Cpmin	Poole
282.167	-123.158	Cpmin	Poole
284.619	-121.053	Cpmin	Poole
288.546	-113.684	Cpmin	Poole
290.019	-108.421	Cpmin	Poole
290.269	-101.053	Cpmin	Poole
305.759	-21.0526	Ktmax	Poole
303.798	-21.0526	Ktmax	Poole
301.839	-18.9474	Ktmax	Poole
299.634	-16.8421	Ktmax	Poole
297.431	-12.6316	Ktmax	Poole
295.228	-7.36842	Ktmax	Poole
293.271	-2.10526	Ktmax	Poole
291.068	3.15789	Ktmax	Poole
288.866	9.47368	Ktmax	Poole
286.910	16.8421	Ktmax	Poole
285.197	22.1053	Ktmax	Poole
283.486	29.4737	Ktmax	Poole
281.775	36.8421	Ktmax	Poole
280.063	43.1579	Ktmax	Poole
278.107	50.5263	Ktmax	Poole
276.151	58.9474	Ktmax	Poole
274.440	66.3158	Ktmax	Poole
272.728	72.6316	Ktmax	Poole
271.262	80.0000	Ktmax	Poole
269.551	87.3684	Ktmax	Poole
267.840	94.7368	Ktmax	Poole
266.129	103.158	Ktmax	Poole
264.418	110.526	Ktmax	Poole
262.953	118.947	Ktmax	Poole
350.181	74.7368	Ktmin	Poole
348.705	67.3684	Ktmin	Poole
346.985	58.9474	Ktmin	Poole
345.265	52.6316	Ktmin	Poole
343.545	45.2632	Ktmin	Poole
341.335	38.9474	Ktmin	Poole
339.125	32.6316	Ktmin	Poole
336.916	27.3684	Ktmin	Poole
334.707	22.1053	Ktmin	Poole
332.499	17.8947	Ktmin	Poole
330.045	12.6316	Ktmin	Poole
327.591	8.42105	Ktmin	Poole
325.137	3.15789	Ktmin	Poole
321.701	-3.15789	Ktmin	Poole
319.984	-6.31579	Ktmin	Poole
317.285	-11.5789	Ktmin	Poole
314.587	-14.7368	Ktmin	Poole
311.888	-18.9474	Ktmin	Poole
308.945	-21.0526	Ktmin	Poole
306.740	-21.0526	Ktmin	Poole
350.074	-100.000	Spinodal	Poole
344.926	-100.000	Spinodal	Poole
340.022	-104.211	Spinodal	Poole
334.874	-106.316	Spinodal	Poole
329.969	-110.526	Spinodal	Poole
325.064	-115.789	Spinodal	Poole
319.913	-122.105	Spinodal	Poole
315.010	-124.211	Spinodal	Poole
310.104	-129.474	Spinodal	Poole
304.957	-130.526	Spinodal	Poole
300.049	-140.000	Spinodal	Poole
294.894	-152.632	Spinodal	Poole
289.983	-168.421	Spinodal	Poole
285.084	-163.158	Spinodal	Poole
279.928	-176.842	Spinodal	Poole
275.021	-185.263	Spinodal	Poole
269.867	-196.842	Spinodal	Poole
262.786	247.368	Tmax	Poole
264.990	244.211	Tmax	Poole
267.194	240.000	Tmax	Poole
269.642	235.789	Tmax	Poole
272.090	231.579	Tmax	Poole
274.784	227.368	Tmax	Poole
277.477	222.105	Tmax	Poole
280.414	215.789	Tmax	Poole
282.616	209.474	Tmax	Poole
285.064	205.263	Tmax	Poole
287.021	198.947	Tmax	Poole
288.980	194.737	Tmax	Poole
291.182	188.421	Tmax	Poole
293.383	181.053	Tmax	Poole
295.584	173.684	Tmax	Poole
298.031	166.316	Tmax	Poole
299.987	158.947	Tmax	Poole
302.188	151.579	Tmax	Poole
304.144	143.158	Tmax	Poole
306.345	134.737	Tmax	Poole
308.300	125.263	Tmax	Poole
310.010	115.789	Tmax	Poole
311.965	106.316	Tmax	Poole
313.675	96.8421	Tmax	Poole
315.139	87.3684	Tmax	Poole
316.604	77.8947	Tmax	Poole
318.069	68.4211	Tmax	Poole
319.287	56.8421	Tmax	Poole
320.506	45.2632	Tmax	Poole
321.723	32.6316	Tmax	Poole
322.449	16.8421	Tmax	Poole
322.683	-1.05263	Tmax	Poole
322.430	-14.7368	Tmax	Poole
321.932	-27.3684	Tmax	Poole
320.944	-38.9474	Tmax	Poole
319.467	-50.5263	Tmax	Poole
317.990	-61.0526	Tmax	Poole
316.269	-69.4737	Tmax	Poole
314.548	-77.8947	Tmax	Poole
312.583	-84.2105	Tmax	Poole
310.619	-90.5263	Tmax	Poole
308.409	-96.8421	Tmax	Poole
306.200	-102.105	Tmax	Poole
303.992	-105.263	Tmax	Poole
301.293	-109.474	Tmax	Poole
298.840	-112.632	Tmax	Poole
295.897	-115.789	Tmax	Poole
292.710	-116.842	Tmax	Poole
289.768	-117.895	Tmax	Poole
287.317	-118.947	Tmax	Poole
285.357	-117.895	Tmin	Poole
282.906	-117.895	Tmin	Poole
280.700	-117.895	Tmin	Poole
278.740	-116.842	Tmin	Poole
276.781	-113.684	Tmin	Poole
274.577	-110.526	Tmin	Poole
272.617	-108.421	Tmin	Poole
270.904	-105.263	Tmin	Poole
269.436	-100.000	Tmin	Poole
267.478	-95.7895	Tmin	Poole
265.766	-90.5263	Tmin	Poole
264.299	-84.2105	Tmin	Poole
262.587	-77.8947	Tmin	Poole
308.5667646726344	-120.0	Widom	TSEOS
308.12972685777225	-117.77777777777777	Widom	TSEOS
307.69268904291005	-115.55555555555556	Widom	TSEOS
307.2556512280479	-113.33333333333333	Widom	TSEOS
306.8186134131857	-111.11111111111111	Widom	TSEOS
306.38157559832354	-108.88888888888889	Widom	TSEOS
305.9445377834614	-106.66666666666667	Widom	TSEOS
305.5074999685992	-104.44444444444444	Widom	TSEOS
305.070462153737	-102.22222222222223	Widom	TSEOS
304.6334243388748	-100.0	Widom	TSEOS
304.1963865240126	-97.77777777777777	Widom	TSEOS
303.75934870915046	-95.55555555555556	Widom	TSEOS
303.3223108942883	-93.33333333333333	Widom	TSEOS
302.8852730794261	-91.11111111111111	Widom	TSEOS
302.44823526456395	-88.88888888888889	Widom	TSEOS
302.01119744970174	-86.66666666666666	Widom	TSEOS
301.5741596348396	-84.44444444444444	Widom	TSEOS
301.13712181997744	-82.22222222222223	Widom	TSEOS
300.70008400511523	-80.0	Widom	TSEOS
300.263046190253	-77.77777777777777	Widom	TSEOS
299.82600837539087	-75.55555555555556	Widom	TSEOS
299.38897056052866	-73.33333333333333	Widom	TSEOS
298.9519327456665	-71.11111111111111	Widom	TSEOS
298.51489493080436	-68.88888888888889	Widom	TSEOS
298.07785711594215	-66.66666666666666	Widom	TSEOS
297.64081930108	-64.44444444444444	Widom	TSEOS
297.2037814862178	-62.22222222222222	Widom	TSEOS
296.7667436713556	-60.0	Widom	TSEOS
296.32970585649343	-57.77777777777777	Widom	TSEOS
295.8926680416313	-55.55555555555556	Widom	TSEOS
