Temperature	Pressure	Property	Source	Model
0.300000	0.333333	       LLT	    LGRxn1	LatticeGasRx
0.296970	0.363636	       LLT	    LGRxn1	LatticeGasRx
0.293939	0.393939	       LLT	    LGRxn1	LatticeGasRx
0.290909	0.424242	       LLT	    LGRxn1	LatticeGasRx
0.287879	0.454545	       LLT	    LGRxn1	LatticeGasRx
0.284848	0.484848	       LLT	    LGRxn1	LatticeGasRx
0.281818	0.515152	       LLT	    LGRxn1	LatticeGasRx
0.278788	0.545455	       LLT	    LGRxn1	LatticeGasRx
0.275758	0.575758	       LLT	    LGRxn1	LatticeGasRx
0.272727	0.606061	       LLT	    LGRxn1	LatticeGasRx
0.269697	0.636364	       LLT	    LGRxn1	LatticeGasRx
0.266667	0.666667	       LLT	    LGRxn1	LatticeGasRx
0.263636	0.696970	       LLT	    LGRxn1	LatticeGasRx
0.260606	0.727273	       LLT	    LGRxn1	LatticeGasRx
0.257576	0.757576	       LLT	    LGRxn1	LatticeGasRx
0.254545	0.787879	       LLT	    LGRxn1	LatticeGasRx
0.251515	0.818182	       LLT	    LGRxn1	LatticeGasRx
0.248485	0.848485	       LLT	    LGRxn1	LatticeGasRx
0.245455	0.878788	       LLT	    LGRxn1	LatticeGasRx
0.242424	0.909091	       LLT	    LGRxn1	LatticeGasRx
0.239394	0.939394	       LLT	    LGRxn1	LatticeGasRx
0.236364	0.969697	       LLT	    LGRxn1	LatticeGasRx
0.233333	1.000000	       LLT	    LGRxn1	LatticeGasRx
0.230303	1.030303	       LLT	    LGRxn1	LatticeGasRx
0.227273	1.060606	       LLT	    LGRxn1	LatticeGasRx
0.224242	1.090909	       LLT	    LGRxn1	LatticeGasRx
0.221212	1.121212	       LLT	    LGRxn1	LatticeGasRx
0.218182	1.151515	       LLT	    LGRxn1	LatticeGasRx
0.215152	1.181818	       LLT	    LGRxn1	LatticeGasRx
0.212121	1.212121	       LLT	    LGRxn1	LatticeGasRx
0.209091	1.242424	       LLT	    LGRxn1	LatticeGasRx
0.206061	1.272727	       LLT	    LGRxn1	LatticeGasRx
0.203030	1.303030	       LLT	    LGRxn1	LatticeGasRx
0.200000	1.333333	       LLT	    LGRxn1	LatticeGasRx
0.196970	1.363636	       LLT	    LGRxn1	LatticeGasRx
0.193939	1.393939	       LLT	    LGRxn1	LatticeGasRx
0.190909	1.424242	       LLT	    LGRxn1	LatticeGasRx
0.187879	1.454545	       LLT	    LGRxn1	LatticeGasRx
0.184848	1.484848	       LLT	    LGRxn1	LatticeGasRx
0.181818	1.515152	       LLT	    LGRxn1	LatticeGasRx
0.178788	1.545455	       LLT	    LGRxn1	LatticeGasRx
0.175758	1.575758	       LLT	    LGRxn1	LatticeGasRx
0.172727	1.606061	       LLT	    LGRxn1	LatticeGasRx
0.169697	1.636364	       LLT	    LGRxn1	LatticeGasRx
0.166667	1.666667	       LLT	    LGRxn1	LatticeGasRx
0.163636	1.696970	       LLT	    LGRxn1	LatticeGasRx
0.160606	1.727273	       LLT	    LGRxn1	LatticeGasRx
0.157576	1.757576	       LLT	    LGRxn1	LatticeGasRx
0.154545	1.787879	       LLT	    LGRxn1	LatticeGasRx
0.151515	1.818182	       LLT	    LGRxn1	LatticeGasRx
0.148485	1.848485	       LLT	    LGRxn1	LatticeGasRx
0.145455	1.878788	       LLT	    LGRxn1	LatticeGasRx
0.142424	1.909091	       LLT	    LGRxn1	LatticeGasRx
0.139394	1.939394	       LLT	    LGRxn1	LatticeGasRx
0.136364	1.969697	       LLT	    LGRxn1	LatticeGasRx
0.133333	2.000000	       LLT	    LGRxn1	LatticeGasRx
0.130303	2.030303	       LLT	    LGRxn1	LatticeGasRx
0.127273	2.060606	       LLT	    LGRxn1	LatticeGasRx
0.124242	2.090909	       LLT	    LGRxn1	LatticeGasRx
0.121212	2.121212	       LLT	    LGRxn1	LatticeGasRx
0.118182	2.151515	       LLT	    LGRxn1	LatticeGasRx
0.115152	2.181818	       LLT	    LGRxn1	LatticeGasRx
