Temperature	Pressure	Property	Source	Model
0.300000	1.000000	       LLT	    LGRxn2	LatticeGasRx
0.296970	1.090909	       LLT	    LGRxn2	LatticeGasRx
0.293939	1.181818	       LLT	    LGRxn2	LatticeGasRx
0.290909	1.272727	       LLT	    LGRxn2	LatticeGasRx
0.287879	1.363636	       LLT	    LGRxn2	LatticeGasRx
0.284848	1.454545	       LLT	    LGRxn2	LatticeGasRx
0.281818	1.545455	       LLT	    LGRxn2	LatticeGasRx
0.278788	1.636364	       LLT	    LGRxn2	LatticeGasRx
0.275758	1.727273	       LLT	    LGRxn2	LatticeGasRx
0.272727	1.818182	       LLT	    LGRxn2	LatticeGasRx
0.269697	1.909091	       LLT	    LGRxn2	LatticeGasRx
0.266667	2.000000	       LLT	    LGRxn2	LatticeGasRx
0.263636	2.090909	       LLT	    LGRxn2	LatticeGasRx
0.260606	2.181818	       LLT	    LGRxn2	LatticeGasRx
0.257576	2.272727	       LLT	    LGRxn2	LatticeGasRx
0.254545	2.363636	       LLT	    LGRxn2	LatticeGasRx
0.251515	2.454545	       LLT	    LGRxn2	LatticeGasRx
0.248485	2.545455	       LLT	    LGRxn2	LatticeGasRx
0.245455	2.636364	       LLT	    LGRxn2	LatticeGasRx
0.242424	2.727273	       LLT	    LGRxn2	LatticeGasRx
0.239394	2.818182	       LLT	    LGRxn2	LatticeGasRx
0.236364	2.909091	       LLT	    LGRxn2	LatticeGasRx
0.233333	3.000000	       LLT	    LGRxn2	LatticeGasRx
0.230303	3.090909	       LLT	    LGRxn2	LatticeGasRx
0.227273	3.181818	       LLT	    LGRxn2	LatticeGasRx
0.224242	3.272727	       LLT	    LGRxn2	LatticeGasRx
0.221212	3.363636	       LLT	    LGRxn2	LatticeGasRx
0.218182	3.454545	       LLT	    LGRxn2	LatticeGasRx
0.215152	3.545455	       LLT	    LGRxn2	LatticeGasRx
0.212121	3.636364	       LLT	    LGRxn2	LatticeGasRx
0.209091	3.727273	       LLT	    LGRxn2	LatticeGasRx
0.206061	3.818182	       LLT	    LGRxn2	LatticeGasRx
0.203030	3.909091	       LLT	    LGRxn2	LatticeGasRx
0.200000	4.000000	       LLT	    LGRxn2	LatticeGasRx
0.196970	4.090909	       LLT	    LGRxn2	LatticeGasRx
0.193939	4.181818	       LLT	    LGRxn2	LatticeGasRx
0.190909	4.272727	       LLT	    LGRxn2	LatticeGasRx
0.187879	4.363636	       LLT	    LGRxn2	LatticeGasRx
0.184848	4.454545	       LLT	    LGRxn2	LatticeGasRx
0.181818	4.545455	       LLT	    LGRxn2	LatticeGasRx
0.178788	4.636364	       LLT	    LGRxn2	LatticeGasRx
0.175758	4.727273	       LLT	    LGRxn2	LatticeGasRx
0.172727	4.818182	       LLT	    LGRxn2	LatticeGasRx
0.169697	4.909091	       LLT	    LGRxn2	LatticeGasRx
0.166667	5.000000	       LLT	    LGRxn2	LatticeGasRx
0.163636	5.090909	       LLT	    LGRxn2	LatticeGasRx
0.160606	5.181818	       LLT	    LGRxn2	LatticeGasRx
0.157576	5.272727	       LLT	    LGRxn2	LatticeGasRx
0.154545	5.363636	       LLT	    LGRxn2	LatticeGasRx
0.151515	5.454545	       LLT	    LGRxn2	LatticeGasRx
0.148485	5.545455	       LLT	    LGRxn2	LatticeGasRx
0.145455	5.636364	       LLT	    LGRxn2	LatticeGasRx
0.142424	5.727273	       LLT	    LGRxn2	LatticeGasRx
0.139394	5.818182	       LLT	    LGRxn2	LatticeGasRx
0.136364	5.909091	       LLT	    LGRxn2	LatticeGasRx
0.133333	6.000000	       LLT	    LGRxn2	LatticeGasRx
0.130303	6.090909	       LLT	    LGRxn2	LatticeGasRx
0.127273	6.181818	       LLT	    LGRxn2	LatticeGasRx
0.124242	6.272727	       LLT	    LGRxn2	LatticeGasRx
0.121212	6.363636	       LLT	    LGRxn2	LatticeGasRx
0.118182	6.454545	       LLT	    LGRxn2	LatticeGasRx
0.115152	6.545455	       LLT	    LGRxn2	LatticeGasRx
0.112121	6.636364	       LLT	    LGRxn2	LatticeGasRx
0.109091	6.727273	       LLT	    LGRxn2	LatticeGasRx
0.106061	6.818182	       LLT	    LGRxn2	LatticeGasRx
0.103030	6.909091	       LLT	    LGRxn2	LatticeGasRx
0.100000	7.000000	       LLT	    LGRxn2	LatticeGasRx
0.096970	7.090909	       LLT	    LGRxn2	LatticeGasRx
0.093939	7.181818	       LLT	    LGRxn2	LatticeGasRx
0.090909	7.272727	       LLT	    LGRxn2	LatticeGasRx
0.087879	7.363636	       LLT	    LGRxn2	LatticeGasRx
0.084848	7.454545	       LLT	    LGRxn2	LatticeGasRx
0.081818	7.545455	       LLT	    LGRxn2	LatticeGasRx
0.078788	7.636364	       LLT	    LGRxn2	LatticeGasRx
0.075758	7.727273	       LLT	    LGRxn2	LatticeGasRx
0.072727	7.818182	       LLT	    LGRxn2	LatticeGasRx
0.069697	7.909091	       LLT	    LGRxn2	LatticeGasRx
0.066667	8.000000	       LLT	    LGRxn2	LatticeGasRx
0.063636	8.090909	       LLT	    LGRxn2	LatticeGasRx
0.060606	8.181818	       LLT	    LGRxn2	LatticeGasRx
0.057576	8.272727	       LLT	    LGRxn2	LatticeGasRx
0.054545	8.363636	       LLT	    LGRxn2	LatticeGasRx
0.051515	8.454545	       LLT	    LGRxn2	LatticeGasRx
0.048485	8.545455	       LLT	    LGRxn2	LatticeGasRx
0.045455	8.636364	       LLT	    LGRxn2	LatticeGasRx
