Temperature	Pressure	Property	Source	Model
0.300000	3.333333	       LLT	   Unknown	LatticeGasRx
0.296970	3.636364	       LLT	   Unknown	LatticeGasRx
0.293939	3.939394	       LLT	   Unknown	LatticeGasRx
0.290909	4.242424	       LLT	   Unknown	LatticeGasRx
0.287879	4.545455	       LLT	   Unknown	LatticeGasRx
0.284848	4.848485	       LLT	   Unknown	LatticeGasRx
0.281818	5.151515	       LLT	   Unknown	LatticeGasRx
0.278788	5.454545	       LLT	   Unknown	LatticeGasRx
0.275758	5.757576	       LLT	   Unknown	LatticeGasRx
0.272727	6.060606	       LLT	   Unknown	LatticeGasRx
0.269697	6.363636	       LLT	   Unknown	LatticeGasRx
0.266667	6.666667	       LLT	   Unknown	LatticeGasRx
0.263636	6.969697	       LLT	   Unknown	LatticeGasRx
0.260606	7.272727	       LLT	   Unknown	LatticeGasRx
0.257576	7.575758	       LLT	   Unknown	LatticeGasRx
0.254545	7.878788	       LLT	   Unknown	LatticeGasRx
0.251515	8.181818	       LLT	   Unknown	LatticeGasRx
0.248485	8.484848	       LLT	   Unknown	LatticeGasRx
0.245455	8.787879	       LLT	   Unknown	LatticeGasRx
0.242424	9.090909	       LLT	   Unknown	LatticeGasRx
0.239394	9.393939	       LLT	   Unknown	LatticeGasRx
0.236364	9.696970	       LLT	   Unknown	LatticeGasRx
0.233333	10.000000	       LLT	   Unknown	LatticeGasRx
0.230303	10.303030	       LLT	   Unknown	LatticeGasRx
0.227273	10.606061	       LLT	   Unknown	LatticeGasRx
0.224242	10.909091	       LLT	   Unknown	LatticeGasRx
0.221212	11.212121	       LLT	   Unknown	LatticeGasRx
0.218182	11.515152	       LLT	   Unknown	LatticeGasRx
0.215152	11.818182	       LLT	   Unknown	LatticeGasRx
0.212121	12.121212	       LLT	   Unknown	LatticeGasRx
0.209091	12.424242	       LLT	   Unknown	LatticeGasRx
0.206061	12.727273	       LLT	   Unknown	LatticeGasRx
0.203030	13.030303	       LLT	   Unknown	LatticeGasRx
0.200000	13.333333	       LLT	   Unknown	LatticeGasRx
0.196970	13.636364	       LLT	   Unknown	LatticeGasRx
0.193939	13.939394	       LLT	   Unknown	LatticeGasRx
0.190909	14.242424	       LLT	   Unknown	LatticeGasRx
0.187879	14.545455	       LLT	   Unknown	LatticeGasRx
0.184848	14.848485	       LLT	   Unknown	LatticeGasRx
0.181818	15.151515	       LLT	   Unknown	LatticeGasRx
0.178788	15.454545	       LLT	   Unknown	LatticeGasRx
0.175758	15.757576	       LLT	   Unknown	LatticeGasRx
0.172727	16.060606	       LLT	   Unknown	LatticeGasRx
0.169697	16.363636	       LLT	   Unknown	LatticeGasRx
0.166667	16.666667	       LLT	   Unknown	LatticeGasRx
0.163636	16.969697	       LLT	   Unknown	LatticeGasRx
0.160606	17.272727	       LLT	   Unknown	LatticeGasRx
